DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
AZE;BOG;64;153,6;673791,0
AZE;BOG;10450;1815,5;7667967,3
AZE;BOG;4;4549,72;19331760,3
BHS;BOG;1;1000;4187010,0
BHS;BOG;8;1235,6;5250941,7
BHS;BOG;124;9269,87;39394259,2
BHS;BOG;927;10978,69;46656248,7
BHS;BOG;8;265,44;1128043,0
BHS;BOG;5;457,5;1944242,3
BHS;BOG;1911;35462,37;150704788,4
BHS;BOG;96;3252,48;13822096,8
BHS;BOG;13,55;12900,84;54684725,6
BHR;BOG;300;96;405829,4
BHR;BOG;500;337,3;1401461,3
BHR;BOG;220;83,2;351718,8
BHR;BOG;3;52;219824,3
BHR;BOG;3612;2210,4;9311310,0
BHR;BOG;3455;2051,1;8625854,9
BHR;BOG;240;67,2;284388,4
BHR;BOG;1010;214,6;941377,2
BHR;BOG;4,6;17,41;73339,6
BHR;BOG;12;34,89;146974,1
BHR;BOG;6;12,44;52403,5
BHR;BOG;12;64,19;270400,4
BHR;BOG;174,25;457,5;1927218,8
BHR;BOG;15;76,5;322256,3
BHR;BOG;9,24;43,38;182738,3
BHR;BOG;18000;4410;18751716,9
BHR;BOG;18700;2949;11954538,2
BHR;BOG;11850;1422;5764446,7
BHR;BOG;54;54;227552,2
BHR;BOG;3400;1022,5;4302306,2
BHR;BOG;10625;2656,25;11213067,2
BHR;BOG;101225;16090;66993837,4
BHR;BOG;750;90;376830,9
BHR;BOG;2600;520;2177245,2
BHR;BOG;2920;807,6;3381429,3
BHR;BOG;192;2429,01;10170289,2
BRB;BOG;26600;4567,33;19189774,0
BRB;BOG;27000;997,54;4191194,2
BRB;BOG;30000;870,76;3658524,3
BRB;BOG;21000;1794;7537544,8
BRB;BOG;280;5325,45;22480801,4
BRB;BOG;105;3960,43;16319427,1
BRB;BOG;431;18254,2;75218621,6
BRB;BOG;959;12246,32;50462431,1
BRB;BOG;36;2741,06;11294866,7
BRB;BOG;723;7674,2;31622462,0
BEL;BOG;60;236,6;990646,6
BEL;BOG;36;242,82;1016689,8
BEL;BOG;380;2582,1;10811278,5
BEL;BOG;99;302,28;1265649,4
BEL;BOG;139,5;1081,49;4528209,4
BEL;BOG;207;1223,07;5121006,3
BEL;BOG;350;1417,5;5935086,7
BEL;BOG;1;40;164824,8
BEL;BOG;45;16455,75;72185780,3
BEL;BOG;1400;7524;31974818,0
BEL;BOG;1160;8700;36959225,4
BEL;BOG;140;1190;4832387,7
BEL;BOG;756;3993,98;16594747,3
BEL;BOG;155;7776;32041941,1
BEL;BOG;348;59676,19;251958243,5
BLZ;BOG;0,72;64,4;271902,6
BLZ;BOG;9,75;135,5;572093,2
BLZ;BOG;1,55;104;439097,4
BLZ;BOG;12,16;210;886638,9
BLZ;BOG;514,57;10563,99;44740422,2
BLZ;BOG;15,6;642;2798734,8
BLZ;BOG;246,6;12481,67;54412590,2
BLZ;BOG;2,37;2251,65;9877223,0
BLR;BOG;32458;32523,12;137487912,3
BLR;BOG;72650;25064,98;103804860,1
BLR;BOG;39500;7803,5;32317649,0
BLR;BOG;66500;22300,44;92355711,2
BLR;BOG;2650;500;2070715,0
BLR;BOG;85600;16432,03;68052102,0
BLR;BOG;7950;2763,5;11444841,8
BLR;BOG;10000;1900;7868717,0
BLR;BOG;1120;3464;15195390,2
BLR;BOG;104;274;1201944,8
BLR;BOG;12850;4495,5;18617798,6
BLR;BOG;1750;332,5;1377025,5
BLR;BOG;6400;1212;5019413,2
BLR;BOG;1600;598,4;2478231,7
BLR;BOG;400;51,2;207914,5
BLR;BOG;12700;1612,9;6549712,7
BLR;BOG;11225;3632,95;15438983,9
BLR;BOG;7850;1012,95;4304743,7
BLR;BOG;25350;2892,15;12290798,8
